RepairOrderNo	CustID	Qty	Description	Material	Condition	Color	SizeWgt	Price
12430	"25820"	1	"Furniture covers"	"SunbSUPREME"	"2-sided"	"Linen"	"3'10x7'6=57.46'"	0.0000
12430	"25820"	1	"Furniture covers"	"SunbSUPREME"	"2-sided"	"Linen"	"6x3'6=42'"	0.0000
12430	"25820"	1	"Furniture cover"	"SunbSUPREME"	"2-sided"	"Linen"	"3'9x9'6=71.26'"	0.0000
12430	"25820"	1	"Furniture cover"	"SunbSUPREME"	"2-sided"	"Linen"	"2'7x7'6=38.7'"	0.0000
12431	"25821"	1	"Bimini"	"Acrylic"		"Burgundy"	"9'7x9'7+flaps=96.78'"	0.0000
12431	"25821"	1	"Curtain"	"Acrylic"	"double layer"	"Burgundy"	"~6'8x5(x2)=60.54'"	0.0000
12431	"25821"	1	"Mooring cover"	"Acrylic"		"Burgundy"	"~21x10=190'"	0.0000
12433	"25827"	1	"Grill cover"	"Acrylic"		"Brown (Tresco Birch 4696)"	"13'6x8=108'"	0.0000
12434	"21873"	1	"Shade sail - 5 pointed"	"Acrylic"		"White"	"(overall)17'6x18'6=140'"	0.0000
12435	"8823"	1	"Patio"	"Sunb 4618"	"NewS21"	"Walnut Brown Tweed"	"20'6x21'6=440.75'"	0.0000
12436	"10214"	1	"Patio"	"acrylic"	"Faded"	"Dark Green Tweed"	"29'8x11'10=351'"	0.0000
12437	"1419"	1	"Ext F3 double"	"Acrylic"		"Green/White Stripe"		0.0000
12438	"11234"	1	"Patio"	"Sunb. Firesist"			"50x12=600'"	0.0000
12439	"17441"	1	"Awning"	"Acrylic"	"New S15"	"Blue striped"		0.0000
12440	"23427"	1	"Cover"	"Acrylic"		"Beige"	"13'7x6'10=92.75'"	0.0000
12440	"23427"	1	"Sailcover-jib"	"Acrylic"		"Toast"	"4'2x1'5 / 1#"	0.0000
12432	"12426"	1	"Pool cover"					0.0000
12441	"15842"	11	"Singles"	"Acrylic"		"DkBlue/Grey Stripe"		0.0000
12441	"15842"	7	"Doubles"	"Acrylic"		"DkBlue/Grey Stripe"		0.0000
12441	"15842"	1	"Extension F2"	"Acrylic"		"DkBlue/Grey Stripe"	"8'1x4'7.5"""	0.0000
12441	"15842"	1	"Extension L1"	"Acrylic"		"DkBlue/Grey Stripe"	"11'5x4'8.5"""	0.0000
12441	"15842"	1	"Extension B2"	"Acrylic"		"DkBlue/Grey Stripe"	"13x4'7"	0.0000
12441	"15842"	1	"Extension BU3"	"Acrylic"		"DkBlue/Grey Stripe"	"11'11x4'2.5"""	0.0000
12441	"15842"	1	"Extension B1"	"Acrylic"		"DkBlue/Grey Stripe"	"12'2x4'8"	0.0000
12441	"15842"	1	"Extension R3"	"Acrylic"		"DkBlue/Grey Stripe"	"6'6.5""x4'7"	0.0000
12441	"15842"	1	"Extension B3"	"Acrylic"		"DkBlue/Grey Stripe"	"14'4.5""x4'7.5"""	0.0000
12442	"25020"	1	"Patio"	"Sunbrella 4652"	"New06"	"Med Blue"	"16'1x11'3=180.9'"	0.0000
12443	"23971"	1	"Patio"	"A/Tempotest"	"New2014"	"Red/White Fancy 68684"	"18'6x15'5=285.27'"	0.0000
12444	"4594"	1	"Bimini"	"Acrylic"		"Navy"	"4'8x5'1=23.4'"	0.0000
12445	"15824"	1	"Snack bar shed awning"	"Acrylic"		"Navy/White"	"~44x5'4=240'"	0.0000
12446	"25019"	1	"Patio"	"Sunbrella 4705"	"New12"	"Grey/Green"	"16x15'4=245.44'"	0.0000
12447	"25833"	1	"Patio"	"Sunbrella"	"New S17"	"Black/Taupe Fancy"		0.0000
12448	"22950"	1	"Patio"	"Acrylic"		"Blue/Beige/Yellow"	"16'7x13'4=221.18'"	0.0000
12449	"25041"	1	"Patio"		"New'03"	"Green"	"15'1x11'9=177.19'"	0.0000
12450	"17367"	1	"Single BU2"	"Acrylic"		"Med Blue 4652"		0.0000
11786	"2905"	1	"Double-garage A"	"Acrylic"	"New21"	"Pacific Blue"	"4'3""x2'2"	0.0000
12451	"2905"	1	"Garage Back #1"	"acrylic"	"Fair"	"Pacific Blue"	"6'4x3'5"	0.0000
12451	"2905"	1	"Garage Back #2"	"Acrylic"	"Fair"	"Pacific Blue"	"6'4x3'5"	0.0000
12451	"2905"	1	"Over Garage door"	"Acrylic"	"Fair"	"Pacific Blue"	"6'5x3'5"	0.0000
12451	"2905"	1	"R1 Double"	"Acrylic"	"Fair"	"Pacific Blue"		0.0000
12451	"2905"	1	"R2 Ext"	"Acrylic"	"Fair"	"Pacific Blue"	"15'10x3'5=50.18'"	0.0000
12451	"2905"	1	"F1 Double"	"Acrylic"	"Fair"	"Pacific Blue"	"6'7"	0.0000
12451	"2905"	1	"F2 Double"	"Acrylic"	"Fair"	"Pacific Blue"	"6'4x4"	0.0000
12451	"2905"	1	"FU1 Single"	"Acrylic"	"Fair"	"Pacific Blue"		0.0000
12451	"2905"	1	"FU2 Single"	"Acrylic"	"Fair"	"Pacific Blue"	"3'11x3'7"	0.0000
12451	"2905"	1	"BU1 Double"	"Acrylic"	"Fair"	"Pacific Blue"	"6'4x3'4"	0.0000
12451	"2905"	1	"BU2 Double"	"Acrylic"	"Fair"	"Pacific Blue"	"4'11x3'5"	0.0000
12451	"2905"	1	"LU1 (drive) Double"	"Acrylic"	"Fair"	"Pacific Blue"	"5'9x3'4"	0.0000
12451	"2905"	1	"LU2 (water) Double"	"Acrylic"	"Fair"	"Pacific Blue"	"5'9x3'4"	0.0000
12451	"2905"	1	"RU1 Double"	"Acrylic"	"Fair"	"Pacific Blue"	"6x3'3"	0.0000
12451	"2905"	1	"RU2 Double"	"Acrylic"	"Fair"	"Pacific Blue"	"5'11x3'4"	0.0000
12451	"2905"	1	"Double-garage A"	"Acrylic"	"New21"	"Pacific Blue"	"4'3""x2'2"	0.0000
12451	"2905"	1	"Double-garage B"	"Acrylic"	"New21"	"Pacific Blue"	"4'3""x2'2"	0.0000
12452	"2914"	1	"Patio"	"acrylic"	"Fair"	"Blue/Red/Grey"	"10'6x12'9=134'"	0.0000
12453	"15789"	1	"Patio"	"Acrylic"	"Fair"	"Grey/White 4-Bar"	"18'6x15'11=294.52'"	0.0000
12454	"15851"	1	"Patio"	"Acrylic"		"Tan"	"33'7x15'2=509.41'"	0.0000
12455	"15853"	1	"Freestander #1"	"Acrylic"		"Green Tweed"	"38'6x23=885.5'"	0.0000
12456	"25839"	1	"Cover"	"Acrylic"		"Grey"	"12'9x9'11=126.48'"	0.0000
12541	"2688"	1	"L (L3) long Hip"	"Acrylic"		"Green/White"	"80'"	0.0000
12541	"2688"	1	"FU1 Hip"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"FU5 Hip"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"FU6 Hip"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"F1 Dome"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"F2 Dome"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"FU3 Dome"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"BU1 Dome"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"Back Lg Dome"	"Acrylic"		"Green/White"		0.0000
12542	"14662"	2	"Windows"	"A+V"		"Black/Clear"	"3.19'/22"	0.0000
