RepairOrderNo	CustID	Qty	Description	Material	Condition	Color	SizeWgt	Price
8972	"13689"	1	"Pavillion Cover-freestander"	"acrylic"		"White"	"11'10x15'6=183.37'"	0.0000
8973	"16020"	1	"Lateral 1"	"Acrylic"		"Parchment"	"22x12'8=278.74'"	0.0000
8973	"16020"	1	"Valance 1"	"Acrylic"		"Parchment"	"22x10"""	0.0000
8973	"16020"	1	"Lateral 2"	"Acrylic"		"Parchment"	"22x12'7=276.76'"	0.0000
8973	"16020"	1	"Valance 2"	"Acrylic"		"Parchment"	"22x9"""	0.0000
8973	"16020"	1	"Lateral 3"	"Acrylic"		"Parchment"	"22'1x12'1=266.73'"	0.0000
8973	"16020"	1	"Valance 3"	"Acrylic"		"Parchment"	"22'1x10"""	0.0000
8973	"16020"	1	"Lateral 4"	"Acrylic"		"Parchment"	"22x9'10=216.26'"	0.0000
8973	"16020"	1	"Valance 4"	"Acrylic"		"Parchment"	"22x9"""	0.0000
8973	"16020"	1	"Lateral 5"	"Acrylic"		"Parchment"	"12'4x10'8=131.67'"	0.0000
8973	"16020"	1	"Valance 5"	"Acrylic"		"Parchment"	"12'4x11"""	0.0000
8974	"12107"	1	"Cover-hex (2pcs)"	"Acrylic"		"Taupe Tweed"	"~7x13=90'"	0.0000
8975	"16167"	1	"Bimini"	"V??"		"White"	"4'6x5'5=24.39'"	0.0000
8976	"15472"	1	"Roller R1"	"Acrylic"		"Silver/Grey/Blue Stripe"	"12'8x7'1=89.7'"	0.0000
8976	"15472"	1	"Roller R2"	"Acrylic"		"Silver/Grey/Blue Stripe"	"10'7x7'1=74.91'"	0.0000
8976	"15472"	1	"Roller R3"	"Acrylic"		"Silver/Grey/Blue Stripe"	"9'6x7'2=68.12'"	0.0000
8976	"15472"	1	"Roller R4"	"Acrylic"		"Silver/Grey/Blue Stripe"	"8'11x7'2=63.96'"	0.0000
8880	"2688"	1	"F1 Dome"					0.0000
8880	"2688"	1	"LD1"					0.0000
8880	"2688"	1	"LU2"					0.0000
8880	"2688"	1	"BD3"					0.0000
8880	"2688"	1	"BU8"					0.0000
8880	"2688"	1	"LD2"					0.0000
8880	"2688"	1	"LU1"					0.0000
8880	"2688"	1	"LS UP 3"					0.0000
8880	"2688"	1	"FU5"					0.0000
8880	"2688"	1	"FU6"					0.0000
8977	"837"	1	"Windshield-curved"	"A+V"		"White/Clear"	"~11x9""=10'"	0.0000
8977	"837"	1	"Cover"	"Acrylic"	"2-sided"	"Navy"	"4'5x4'1=36.06'"	0.0000
8977	"837"	1	"Bimini Boot"	"Acrylic"		"Navy"	"6'8x1'5=9.47'"	0.0000
8977	"837"	1	"Cover"	"acrylic"	"Fair"	"Brass"	"8'5x16'5=138.26'"	0.0000
8978	"16178"	1	"Awning"	"Acrylic"		"Tan/White/Green/Taupe"	"8'8x6=52.02'"	0.0000
8978	"16178"	1	"Valance"	"Acrylic"		"Tan/White/Green/Taupe"	"8'8x8"""	0.0000
8978	"16178"	1	"Lateral"	"Acrylic"		"Tan/White/Green/Taupe"	"17'8x13'10=244.38'"	0.0000
8979	"8508"	1	"Window"	"A+V"		"Lt. Beige/Clear"	"2'10x2'10=8.01'"	0.0000
8979	"8508"	2	"Windows"	"A+V"		"Lt. Beige/Clear"	"~2'9x4=11'/24.20"	0.0000
8979	"8508"	2	"Triangle panels"	"Acrylic"		"Lt. Beige"	"(1/2) 7'9x5'1=19.71'/35.48"	0.0000
8979	"8508"	1	"Aft Curtain"	"Acrylic"		"Lt. Beige"	"~7'9x8=62'"	0.0000
8980	"2255"	200	"NECPA bags"					0.0000
8981	"16193"	1	"Umbrella #1"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #3"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #5"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #6"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #7"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #8"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #9"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #10"			"Dk Blue"	"7'R=153.86'"	0.0000
8981	"16193"	1	"Umbrella #11"			"Dk Blue"	"4'9R=70.84'"	0.0000
8981	"16193"	1	"Umbrella #12"			"Dk Blue"	"7'R=153.86'"	0.0000
8982	"10534"	1	"Patio"	"acrylic"		"LtBrown/DkBrown/DkRed/DkGreen"	"18'8x19=354.73'"	0.0000
8982	"10534"	1	"Freestander-tent style"	"acrylic"	"2 layers"	"Red/white underside"	"25'6x24=612'"	0.0000
8983	"16194"	1	"Lateral"	"Acrylic"		"Off White Birchbark/Brown/Tan"	"22'6x13'1=294.3'"	0.0000
8984	"15948"	1	"Footstool"	"Cotton duck"		"Black"		0.0000
8985	"14702"	1	"Connector"	"Acrylic"		"Navy"	"2'7x9'7=24.72'"	0.0000
8985	"14702"	1	"Bimini"	"Acrylic"		"Navy"	"7'7x10'4=78.38'"	0.0000
8985	"14702"	1	"Windows"	"A+V"		"Navy/Clear"	"4'9x2'4=11.12'"	0.0000
8986	"13280"	1	"Boat cover"	"acrylic"		"Red"	"12'1x7'5=89.63'"	0.0000
8987	"13394"	1	"Boat Cover"	"vinyl-like"		"Ivory"	"6'9x6=40.5'"	0.0000
8988	"14011"	1	"Curtain"	"a+textaline"		"Off White"	"2'9x2'10=7.78'"	0.0000
8988	"14011"	1	"Curtain"	"a+textaline"		"Off White"	"2'9x2'11"	0.0000
8988	"14011"	1	"Curtain"	"a+textaline"		"Off White"	"2'9x2'7"	0.0000
8988	"14011"	4	"Curtains"	"a+textaline"		"Off White"	"5'1x2'4=11.89'/22.00"	0.0000
8989	"12101"	1	"Sides"	"vinyl"	"Fair/Good"	"White"	"10'1x7'1=71.37'/42.82"	0.0000
8990	"13851"	1	"Extension"	"Acrylic"	"dirty"	"honey brown"	"9'6 x 5'3"	0.0000
8991	"9906"	1	"Cover"	"Acrylic"		"Blue"	"~4'8x3=14.01'"	0.0000
9024	"313"	1	"Windows"	"v+a"		"Tan/Clear"	"4x2=8'"	0.0000
8992	"2902"	1	"Patio"	"acrylic"	"OK"	"Beige/Red/Blue"	"12'6x15'3=190.63'"	0.0000
8993	"2902"	1	"Patio"	"acrylic"	"OK"	"Beige/Red/Blue"	"12'6x15'3=190.63'"	0.0000
8994	"6503"	1	"Patio"	"acrylic"	"Fair"	"Brown/Tan"	"9'10x14'8=144.21'"	0.0000
8995	"16228"	1	"Lateral"	"Acrylic"		"Yellow/Grey/Blue/White"	"19'1x10'9=205.11'"	0.0000
8996	"16227"	1	"Bimini"	"COATED A"		"Tan"	"9'7x8'7=82.2'"	0.0000
8997	"16223"	1	"Cockpit Cover"	"Acrylic"		"Red"	"13'8x8'2=111.68'"	0.0000
8997	"16223"	1	"Bow Cover"	"Acrylic"		"Red"	"6x5'8=34.02'"	0.0000
8998	"13105"	1	"Panel ""stretcher"""	"Canvas"			"7'x3'"	0.0000
8999	"11267"	1	"Boat Cover"	"Acrylic"		"Navy"	"~20x10=227.33'"	0.0000
8999	"11267"	1	"Bag"			"Grey"		0.0000
9000	"15418"	1	"Windows"	"v+v"		"White/Clear"	"~7x2=11.43'/25.15"	0.0000
9000	"15418"	1	"Bimini"	"Vinyl"		"White"	"8'6x11=93.5'"	0.0000
9001	"16263"	1	"Window A"	"Stamoid+V"		"White/Clear"	"~1'3x1'3"	0.0000
9001	"16263"	1	"Window B"	"Stamoid+V"		"White/Clear"	"~1'2x1'4"	0.0000
9001	"16263"	1	"Window C triangle"	"Stamoid+V"		"White/Clear"	"~(1/2)5x5'6=13.75'"	0.0000
9001	"16263"	1	"Window D"	"Stamoid+V"		"White/Clear"	"~4'6x3'9=16.88'"	0.0000
9001	"16263"	1	"Window E"	"Stamoid+V"		"White/Clear"	"~4'6x3'9=16.88'"	0.0000
9001	"16263"	1	"Window F triangle"	"Stamoid+V"		"White/Clear"	"~(1/2)4x3'8=7.34'"	0.0000
9001	"16263"	1	"Window G triangle"	"Stamoid+V"		"White/Clear"	"~(1/2)4x3'8=7.34'"	0.0000
9001	"16263"	1	"Window H"	"Stamoid+V"		"White/Clear"	"~3'8x3'6=11.93'"	0.0000
9001	"16263"	1	"Window I"	"Stamoid+V"		"White/Clear"	"6'9x4'10=32.6'"	0.0000
9001	"16263"	1	"Window J"	"Stamoid+V"		"White/Clear"	"~3x5=15'"	0.0000
9001	"16263"	1	"Window K"	"Stamoid+V"		"White/Clear"	"5'1x3'6=17.78'"	0.0000
9001	"16263"	1	"Window L"	"Stamoid+V"		"White/Clear"	"4x4'4=17.36'"	0.0000
9001	"16263"	1	"Window M"	"Stamoid+V"		"White/Clear"	"2x3'9+2'3x1'8=11.26'"	0.0000
9001	"16263"	1	"Window N"	"Stamoid+V"		"White/Clear"	"2x3'9+2'3x1'8=11.26'"	0.0000
9001	"16263"	1	"Bimini O"	"Stamoid"		"White"	"11'6x6'1+8'6x5'8=122.95'"	0.0000
9001	"16263"	1	"Connector P"	"Stamoid"		"White"	"8'11x1'5=12.67'"	0.0000
9001	"16263"	1	"Cover Q"	"Stamoid"		"White"	"~4'10x1'9=8.45'"	0.0000
9001	"16263"	1	"Cover R"	"Stamoid"		"White"	"~4'10x1'9=8.45'"	0.0000
9002	"61"	1	"Patio"	"acrylic"	"Fair"	"Yellow"	"~51'9x17'6=901.52'"	0.0000
9003	"1489"	1	"Single"	"acrylic"	"Fair"	"Burgundy/Off White"	"35.00 ea."	0.0000
9003	"1489"	1	"Extension"	"acrylic"	"Fair"	"Burgundy/Off White"	"11'3x3'6=39.38'"	0.0000
9004	"14880"	1	"Windows"	"A+V"		"Navy/Clear"	"4'2x4'5=18.45'"	0.0000
9004	"14880"	1	"Windows"	"A+V"		"Navy/Clear"	"4x4=16''"	0.0000
9004	"14880"	1	"Panel"	"Stamoid"		"White"	"4'5x5'4=23.6'"	0.0000
9004	"14880"	1	"Panel"	"Stamoid"		"White"	"4'5x5'8=25.06'"	0.0000
9005	"9616"	1	"Race Trailer Cover"	"dacron+mesh"	"Fair"	"Grey/Red"	"32x15'2=485.44'"	0.0000
9006	"2131"	1	"Patio"	"acrylic"	"Good"	"Green"	"13'6x16'3=216'"	0.0000
9007	"11731"	1	"Lateral"	"acrylic"		"Beige/Red/Green"	"13'7x12'3=166.36'"	0.0000
9007	"11731"	1	"Valance"	"acrylic"		"Beige/Red/Green"	"13'7x8"""	0.0000
9008	"12740"	1	"Lateral"	"Acrylic"		"Tan/Burgundy/DkGreen Stripe"	"19'8x12'5=244.3'"	0.0000
9009	"2129"	1	"Extension #1"	"acrylic"	"Good"	"Yellow/White"	"6'3x4=25'"	0.0000
9009	"2129"	1	"Extension #2"	"acrylic"	"Good"	"Yellow/White"	"6'3x4=25'"	0.0000
9009	"2129"	1	"Extension #3"	"acrylic"	"Good"	"Yellow/White"	"7'3x4=29'"	0.0000
9009	"2129"	1	"Extension #4"	"acrylic"	"Good"	"Yellow/White"	"7'4x4=29.36'"	0.0000
9009	"2129"	1	"Single #5"	"acrylic"	"Good"	"Yellow/White"	"3'6x3"	0.0000
9009	"2129"	1	"Double #6"	"acrylic"	"Good"	"Yellow/White"	"5'8x3'11"	0.0000
9010	"649"	1	"Patio section 1"	"Acrylic"		"Green/White"	"~27x20=540'"	0.0000
9010	"649"	1	"Patio section 2"	"Acrylic"		"Green/White"	"~32x27=864'"	0.0000
9010	"649"	1	"Patio section 3"	"Acrylic"		"Green/White"	"~30'6x17=518.5'"	0.0000
9010	"649"	1	"Patio section 4"	"Acrylic"		"Green/White"	"~38x27+22x10'6=1257'"	0.0000
9011	"16310"	1	"Patio"	"Acrylic"		"Heather Beige"	"30'1x22'6=676.8'"	0.0000
9012	"16311"	1	"Lateral"	"Acrylic"		"LtGrey/Black/Brown Stripe"	"14'8x10'10=158.88'"	0.0000
9013	"16322"	1	"Panels"	"A+V"		"Navy/Clear"	"6x1'10=10.98'/24.16"	0.0000
9013	"16322"	2	"Windows"	"A+V"		"Navy/Clear"	"3'8x1'6=5.51'/22.00"	0.0000
9014	"14515"	1	"Windows"	"A+V"		"Silver/Clear"	"4'6x6'8=30.02'/66.04"	0.0000
9014	"14515"	1	"Windows"	"A+V"		"Silver/Clear"	"4'4x6=26.04'/57.29"	0.0000
9015	"11350"	1	"Bimini"	"Acrylic"	"Fair"	"Sky Blue"	"7x7'10=54.81'"	0.0000
9015	"11350"	1	"Center aft panel"	"A+V"		"Sky Blue/Clear"	"6'2x2'11=18.02'"	0.0000
9015	"11350"	2	"Windows"	"A+V"		"Sky Blue/Clear"	"3'6x2=7'/22.00"	0.0000
9015	"11350"	1	"Aft Side"	"A+V"		"Sky Blue/Clear"	"~4'3x2=8.5'"	0.0000
9015	"11350"	1	"Aft Side"	"A+V"		"Sky Blue/Clear"	"~2'9x4'3=11.69'"	0.0000
9015	"11350"	2	"Sides"	"A+V"		"Sky Blue/Clear"	"~2'6x5'6=10.25'/22.55"	0.0000
9015	"11350"	1	"Bag-sheets/towels"					0.0000
9016	"16320"	1	"Freestander-angled"	"Acrylic"		"Dk Green"	"~24x15+15x15+faces=647.47'"	0.0000
9017	"14628"	2	"Tent tops"	"Acrylic"		"Beige"	"~10x18=343.5'/549.60"	0.0000
9017	"14628"	4	"Curtains"	"Acrylic"		"Beige"	"7'6x8'6=63.75'/102"	0.0000
9017	"14628"	4	"Curtains"	"Acrylic"		"Beige/black binding"	"7'6x8'6=63.75'/102"	0.0000
9017	"14628"		"Ties"					0.0000
9018	"13729"	1	"Windows - triangle"	"A+V"		"Tan/Clear"	"(1/2)4'6x7'4=15'/22.50"	0.0000
9018	"13729"	2	"Windows"	"A+V"		"Tan/Clear"	"~6'6x2=13'/19.50"	0.0000
9018	"13729"	1	"Bimini"	"acrylic"		"Tan"	"10'1x7=70.56'"	0.0000
9019	"16319"	1	"Race cover"	"Dacron"	"BRUNOS"	"Grey w/red/blue graphics"	"50'6x22'5=1132.21'"	0.0000
9019	"16319"	1	"Curtain #1"	"Dacron"		"Black/White"	"19'6x7'2=139.82'"	0.0000
9019	"16319"	1	"Curtain #2"	"Dacron"		"Black/White"	"19'6x7'2=139.82'"	0.0000
9019	"16319"	1	"Curtain #3"	"Dacron"		"Black/White"	"52x7'2=372.84'"	0.0000
9019	"16319"	1	"Connector (for white top)"	"Dacron"			"52x1'2=60.84'"	0.0000
9020	"16339"	1	"Pontoon boat cover"	"Acrylic"		"Red"	"~19'6x10=190'"	0.0000
9021	"16375"	1	"Bimini"	"Acrylic"		"Heather Beige"	"~9x6=56.15'"	0.0000
9021	"16375"	2	"Windows"	"A+V"		"Heather Beige/Clear"	"~2x5=11.67'/25.67"	0.0000
9019	"16319"	1	"Race cover"	"Dacron"		"White"	"51'6x20'4=1047.51'"	0.0000
9022	"16388"	1	"Lateral"	"Acrylic"		"Green/White?"	"14'7x9=131.22'"	0.0000
9022	"16388"	1	"Valance"	"Acrylic"		"Green/White?"	"14'7x8"""	0.0000
9023	"6696"	1	"Bimini"	"acrylic"	"Good"	"Toast"	"9'9x9'10=95.84'"	0.0000
9025	"16404"	1	"Patio"	"Canvas"		"DkGreen/TerraCotta/Beige"	"11'7x11=127.38'"	0.0000
9026	"11200"	1	"Back Bimini"	"Acrylic"	"Good"	"Mocha Tweed"	"5'10x6'4=36.96'"	0.0000
9027	"12418"	1	"Large Awning - 2PCS?"	"Sunb +"		"Capt Navy/ Natural Stripe"	"54'9x54'8=2993.18+329.19 wing="	0.0000
9028	"16396"	1	"Top w/curtain"	"Acrylic"		"Toast"	"~7x6=40.9'"	0.0000
9028	"16396"	1	"Cover"	"Acrylic"		"Toast"	"9'8x8'6=82.2'"	0.0000
9029	"9541"	1	"Windows-triangle"	"a+v"	"Fair"	"Navy/Clear"	"~(1/2)2'8x5'8=22.00 ea."	0.0000
9029	"9541"	1	"Bimini"	"acrylic"	"Fair"	"Navy"	"8x8'6=68'"	0.0000
9029	"9541"	1	"Aft Curtain"	"A+V"		"Navy/Clear"	"6'6x12'8=82.36'"	0.0000
9030	"16399"	1	"Bimini"	"Seamark"		"Oyster"	"7'4x7'5=54.46'"	0.0000
9031	"16406"	1	"Patio"	"Acrylic"		"Cream/TanTweed/Yellow Stripe"	"14'1x16=225.28'"	0.0000
9032	"16440"	1	"Bow - welded/staple-on"	"Acrylic"		"Green"	"~18x4'9=104.5'"	0.0000
9033	"16441"	1	"Patio"	"Acrylic"	"Fair"	"Linen tweed"	"11'10"" 13'=153.79'"	0.0000
9034	"14121"	1	"Bimini"	"Acrylic"		"Dk Blue"	"4'7x9'2=42'"	0.0000
9035	"10507"	1	"Awning"	"acrylic"		"Green/Beige"	"8'10x5'1=50'"	0.0000
9036	"16473"	1	"Patio"	"Acrylic"		"Linen Tweed"	"13'11x17'1=237.75'"	0.0000
9037	"10523"	1	"Awning"	"acrylic"		"Green/White"	"36'1x24'10-cutout=872.53'"	0.0000
9038	"9091"	1	"Patio"	"acrylic"	"New S02"	"Grey/Beige"	"45'"	0.0000
9039	"1382"	1	"Valance"	"acrylic"		"Blue/White 4-Bar"	"27'8x9""=20.75'"	0.0000
9040	"16481"	1	"Patio"	"Canvas"		"Green"	"15'9x14=220.5"	0.0000
9041	"16476"	1	"Volleyball net"	"Vinyl"		"Blue/Black netting"		0.0000
9042	"16482"	1	"Aft Panel"	"Seam+V+Screen"		"Med Blue/Clear/Screen"	"~10x3'3=29.7'"	0.0000
9042	"16482"	1	"Cover"	"Seamark"		"Med Blue"	"6'10x7'1=48.36'"	0.0000
9043	"15734"	1	"Lateral"	"Sunbrella"	"New"	"Ocean Blue"	"17' x 8', 6"" linear valance"	0.0000
9044	"9945"	1	"Bimini"	"Acrylic"		"Pacific Blue"	"7'7x8'6=64.43'"	0.0000
9045	"13153"	1	"Patio"	"acrylic"	"Poor"	"Plum Fancy"		0.0000
9046	"16500"	1	"Bimini"	"Acrylic"		"Linen"	"8'9x9'7=83.83'"	0.0000
9046	"16500"	1	"Cover"	"Acrylic"		"Linen"	"5'5x9'8=52.41'"	0.0000
9047	"16511"	1	"Lateral"	"Acrylic"		"Tan/DkGreenTweed/Beige"	"20'7x13'9=282.98'"	0.0000
9048	"16503"	1	"Singles"			"White/Green/Red"	"3'9x2'9=29.00 ea."	0.0000
9048	"16503"	1	"Awning"			"White/Green/Red"	"6'3x4'2=26.06'"	0.0000
9049	"16504"	1	"Patio"			"Blue/Taupe"	"22x13'2=289.74'"	0.0000
9050	"16515"	1	"Grill Awning"	"Acrylic"	"Good"	"white/tan/multi"	"123'"	0.0000
9051	"16519"	1	"Lateral"	"Acrylic"	"New"		"15x12"	0.0000
9051	"16519"	1	"Valance"	"Acrylic"	"New"		"9"""	0.0000
9052	"15949"	1	"Window"	"A+V"		"Grey/Clear"	"2'9x4'2=11.47'"	0.0000
9052	"15949"	1	"Window"	"A+V"		"Grey/Clear"	"~2'9x4=11'"	0.0000
9052	"15949"	1	"Window"	"A+V"		"Grey/Clear"	"~3'6x4'3=14.88'"	0.0000
9052	"15949"	1	"Window"	"A+V"		"Grey/Clear"	"~3'6x4'3=14.88'"	0.0000
9052	"15949"	1	"Window"	"A+V"		"Grey/Clear"	"~3x4=12'"	0.0000
9052	"15949"	1	"Window"	"A+V"		"Grey/Clear"	"~2'7x6=15.48'"	0.0000
9052	"15949"	1	"Window"	"A+V"		"Grey/Clear"	"~2'9x6=16.5'"	0.0000
9053	"13105"	1	"Panel ""stretcher"""	"Canvas"			"7'x3'"	0.0000
9054	"16536"	1	"Lateral"	"Acrylic"		"Tan/Grey/White"	"21'5x9'5=201.78'"	0.0000
9054	"16536"	1	"Valance"	"Acrylic"		"Tan/Grey/White"	"21'5x8"""	0.0000
9054	"16536"	1	"Lateral"	"Acrylic"		"Aqua/Grey/White"	"17x7'6=127.5'"	0.0000
9054	"16536"	1	"Valance"	"Acrylic"		"Aqua/Grey/White"	"17x8"""	0.0000
9055	"7226"	1	"Bimini"	"Acrylic"		"Burgundy Tweed"	"7'8x9'3=70.95'"	0.0000
9055	"7226"	1	"Panels"	"A+V"		"Pac Blue/Clear"	"~2'2x6'6=13.75'"	0.0000
9056	"16469"	1	"Valance"	"Acrylic"		"Green/White"	"19'9x8"""	0.0000
9056	"16469"	1	"Lateral"	"Acrylic"		"Green/White"	"19'9x13'11=287.92"	0.0000
9057	"16540"	1	"Valance"	"Acrylic"	"New"	"Capt. Navy"		0.0000
9058	"2333"	1	"Small Umbrellas"	"acrylic"		"Ivory"	"5'R=78.5'/120.89"	0.0000
9059	"16543"	1	"Patio"	"Acrylic"	"Fair"	"Grey/Blue"	"20'6c14'8=300.74'"	0.0000
9060	"16544"	1	"Patio"	"Acrylic"		"Dk Green"	"~39'2x11'6=440.57'"	0.0000
9061	"11904"	1	"Curtain"	"acrylic"		"Lt. Yellow/Lt. Green bottom"	"8'2x6'6=69.45'"	0.0000
9061	"11904"	8	"Tent Tops"	"acrylic"		"Lt. Yellow/Lt. Green Trim"	"10'8x10'8=113.85'/136.62"	0.0000
9061	"11904"	1	"Tent Top"	"acrylic"		"Lt. Yellow/Lt. Green Trim"	"9'8x9'8=93.51'"	0.0000
9061	"11904"	3	"Cabanas"	"acrylic"		"Lt. Yellow/Lt. Green Trim"	"12'6x12'6=156.25'/187.50"	0.0000
9061	"11904"	4	"Curtains T1"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x7'10=66'/79.20"	0.0000
9061	"11904"	4	"Curtains T2"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x8=66'/79.20"	0.0000
9061	"11904"	4	"Curtains T3"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x8=66'/79.20"	0.0000
9061	"11904"	4	"Curtains T4"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x8=66'/79.20"	0.0000
9061	"11904"	4	"Curtains T5"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x8=66'/79.20"	0.0000
9061	"11904"	4	"Curtains P1"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x7'10=66'/79.20"	0.0000
9061	"11904"	4	"Curtains P2"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x7'10=66'/79.20"	0.0000
9061	"11904"	4	"Curtains P3"	"Acrylic"	"WHEELS"	"Parchment"	"8'3x7'10=66'/79.20"	0.0000
9061	"11904"	15	"Curtains"	"acrylic"		"Lt. Yellow/Lt. Green bottom"	"9'3x6'6=59.61'/71.53"	0.0000
9062	"16545"	1	"Boat Cover -triangleish"	"CoatedPoly?"		"Grey"	"~20x8=158.76'"	0.0000
9063	"16546"	1	"Dodger"	"A+V"		"Toast/Clear"	"8'7x5'5=46.5'"	0.0000
9064	"16537"	1	"Cover"	"Coated Poly?"		"White"	"~18x9=155'"	0.0000
8876	"2598"	1	"Lg tent wall 10"				"5'2x6'9=34.9'"	0.0000
8876	"2598"	1	"Lg tent wall 4"				"9'8x6'9=65.27'"	0.0000
9065	"16550"	3	"Welded frame awnings"	"Acrylic"		"Blue/white"	"$75"	0.0000
9067	"11371"	1	"Cover"	"Acrylic"		"White"	"~13x9=117'"	0.0000
9068	"8921"	1	"Awning"				"12'10x16=205.28'"	0.0000
9068	"8921"	1	"Valance?"				"12x16""=16.08"	0.0000
9069	"16556"	1	"Aft Cover"	"A+V"		"Teal Tweed/Clear"	"~8x9'3=74'"	0.0000
9069	"16556"	1	"Bag"			"White ACI"		0.0000
9070	"6823"	1	"Patio"	"acrylic"	"Fair"	"Lt. Grey/White"	"20'8x12'7=260.03'"	0.0000
9070	"6823"	1	"Bag"			"White ACI"		0.0000
9071	"16557"	1	"Awning"			"White"	"6'4x4'9=30.12'"	0.0000
9072	"11350"	1	"Boat Cover"	"A+V"		"Black/Clear"	"~4'6x7'6"	0.0000
9072	"11350"	1	"Bag"			"ACI White"		0.0000
9073	"16558"	1	"Lateral-right side"				"24'1x12+roll"	0.0000
9073	"16558"	1	"Valance-right side"				"24'1x10"""	0.0000
9073	"16558"	1	"Lateral-left side"				"20'2x12+roll"	0.0000
9073	"16558"	1	"Valance-left side"				"20'2x10"""	0.0000
9074	"16551"	1	"L shape hip patio"	"Acrylic"		"Tan/Blue"	"14x24'10+3'7x11'8=389.4'"	0.0000
9075	"16559"	1	"Patio"	"Acrylic"		"Dk Green"	"17'3 x 9'2"	0.0000
9076	"16561"	1	"Lawnmower bag"					0.0000
9077	"16564"	1	"Valance"	"Acrylic"		"Grey/Red/Blue/Gold"	"21'7x8""=14.46'"	0.0000
9078	"16565"	1	"Awning"				"15'7x13'8=212.98'"	0.0000
9079	"12426"	1	"Awning"	"acrylic"		"White"	"32'2x14=450.38'"	0.0000
9080	"16296"	1	"Patio"	"Acrylic"		"Green/White/Multi"	"26x5'10=151.58'"	0.0000
9081	"2688"	1	"LD1"					0.0000
9082	"13269"	1	"Bag Room awning"			"Green"		0.0000
9083	"16569"	1	"Awning"			"Beige"	"14'7x12'8-cutout=192.07'"	0.0000
9084	"16560"	1	"Extension"	"Acrylic"	"Fair"	"Terra Cotta"	"11'2x2'8"	0.0000
9085	"2332"	1	"Single Hips"	"Acrylic"		"Blue"		0.0000
9086	"10410"	4	"Seat Cushions"	"Calabana Su14 New"	"2-sided"	"Emerald Green"	"1'7x1'8"	0.0000
9087	"15980"	1	"Valance"	"Acrylic"	"New"	"True Brown"	"7"" linear valance"	0.0000
9088	"16577"	1	"Swing cover"			"Tan/Green Stripe"	"7'5x6'4=47.04'"	0.0000
9089	"13540"	1	"Connector cover"	"Seamark"		"Taupe"	"~7'9x2'9=21.31'"	0.0000
9089	"13540"	1	"Cover"	"Acrylic"		"Taupe"	"~15'6x8=124'"	0.0000
9090	"15898"	1	"Lat-kiddie pool"					0.0000
9091	"14662"	1	"Helm Cover"	"Acrylic"		"White"	"~4'6x4=18'"	0.0000
9092	"14831"	1	"AC Cover"					0.0000
9093	"16583"	1	"Patio"	"Acrylic"		"Brown/White Fancy"	"23x9'7=220.34'"	0.0000
9094	"16016"	1	"Patio"	"Acrylic"	"Poor"	"White/Green/Beige Stripe"	"10'1x8'5=84.87'"	0.0000
9095	"16585"	1	"Awning"	"Acrylic"		"White/Green/Burgundy"	"20x18'11=378.4'"	0.0000
9096	"16588"	1	"Lateral"	"Acrylic"	"New S14"	"Forest Green"	"8'x6'"	0.0000
9097	"1493"	1	"Back porch extension"	"Acrylic"	"New S14"	"Moss classic 4911"	"7'2x3'3x3'2"	0.0000
9098	"16589"	1	"Lateral"	"Acrylic"		"DkBlue/SkyBlue/White"	"18'3x6'8=121.73'"	0.0000
9099	"2904"	1	"Lateral"	"acrylic"	"Fair"	"Yellow/White Stripe"		0.0000
9100	"7692"	1	"Extension R1"	"acrylic"		"Burgundy"	"14'11x3'2=48.75'"	0.0000
9101	"7692"	1	"Pontoon boat cover"					0.0000
9102	"16593"	1	"Patio"	"Acrylic"		"Green"	"14x9'1=130'"	0.0000
9103	"16597"	2	"Pergola covers"			"Silica Sesame #4860"		0.0000
9104	"16554"	1	"Patio"	"Acrylic"		"Tan"	"13x16'5=213.46'"	0.0000
9105	"16598"	1	"Double"					0.0000
9105	"16598"	2	"Singles"					0.0000
9106	"15497"	1	"Awning"	"Acrylic"	"Fair"	"Forest Green Tweed"		0.0000
9107	"16599"	1	"Awning"	"Canvas"			"11'3""x 3'1"" drop, 3'10"" proj"	0.0000
9108	"8760"	2	"Singles"					0.0000
9108	"8760"	1	"Triple"					0.0000
9109	"16600"	1	"Triple"			"Red/green/white"		0.0000
9109	"16600"	1	"Double"			"Red/green/white"		0.0000
9109	"16600"	2	"Singles"			"Red/green/white"		0.0000
