CustID,PhotoDate,Link,Notes
16763,"11/01/14 00:00:00","..\..\Pictures\Before - Afters\Irwin Marine - GlenRaven 11-14 H.jpg#..\..\Pictures\Before - Afters\Irwin Marine - GlenRaven 11-14 H.jpg#",
16763,"11/01/14 00:00:00","..\..\Pictures\Before - Afters\Irwin Marine -GlenRaven 11-14 F.jpg#..\..\Pictures\Before - Afters\Irwin Marine -GlenRaven 11-14 F.jpg#",
15749,"07/18/13 00:00:00","..\..\Pictures\Before - Afters\leighton-chils 32253 after1.jpg#..\..\Pictures\Before - Afters\leighton-chils 32253 after1.jpg#",
15749,"07/18/13 00:00:00","..\..\Pictures\Before - Afters\leighton-chils 32253 after2.jpg#..\..\Pictures\Before - Afters\leighton-chils 32253 after2.jpg#",
15749,"07/18/13 00:00:00","..\..\Pictures\Before - Afters\leighton-chils 32253 before1.jpg#..\..\Pictures\Before - Afters\leighton-chils 32253 before1.jpg#",
15749,"07/18/13 00:00:00","..\..\Pictures\Before - Afters\leighton-chils 32253 before2.jpg#..\..\Pictures\Before - Afters\leighton-chils 32253 before2.jpg#",
6080,"02/21/14 00:00:00","..\..\Pictures\Before - Afters\Magee33537 afterA.JPG#..\..\Pictures\Before - Afters\Magee33537 afterA.JPG#",
6080,"02/21/14 00:00:00","..\..\Pictures\Before - Afters\Magee33537 afterB.JPG#..\..\Pictures\Before - Afters\Magee33537 afterB.JPG#",
6080,"02/21/14 00:00:00","..\..\Pictures\Before - Afters\Magee33537 afterC.JPG#..\..\Pictures\Before - Afters\Magee33537 afterC.JPG#",
6080,"02/21/14 00:00:00","..\..\Pictures\Before - Afters\Magee33537 afterD.JPG#..\..\Pictures\Before - Afters\Magee33537 afterD.JPG#",
6080,"02/21/14 00:00:00","..\..\Pictures\Before - Afters\Magee33537 before A.jpg#..\..\Pictures\Before - Afters\Magee33537 before A.jpg#",
14573,"11/29/12 16:30:57",,
10826,"12/05/12 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Letizia 2.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Letizia 2.JPG#",
10826,"12/05/12 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Letizia 1.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Letizia 1.JPG#",
15022,"12/07/12 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 1.pdf#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 1.pdf#",
15022,"12/07/12 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 2.pdf#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 2.pdf#",
14943,"12/07/12 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 1.pdf#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 1.pdf#",
14943,"12/07/12 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 2.pdf#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Shafer 2.pdf#",
7676,"12/26/12 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Budd.pdf#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Budd.pdf#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 1 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 1 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 2 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 2 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 3 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 3 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 4 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 4 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 5 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 5 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 6 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 6 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 7 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 7 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 8 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 8 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 9 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 9 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 10 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 10 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 11 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 11 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 12 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 12 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 13 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 13 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 14 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 14 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 15 before.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 15 before.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 16 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 16 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 17 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 17 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 18 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 18 after.JPG#",
15126,"01/16/13 00:00:00","..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 19 after.JPG#..\Documents and Settings\Melissa\My Documents\CUSTOMER PHOTOS FOR DATABASE - do not delete or move these files\Long Road 19 after.JPG#",
10762,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\dalonzo 1.jpg#..\..\Pictures\CLEANING - REPAIRS\dalonzo 1.jpg#",
10762,"12/10/19 00:00:00","..\..\Pictures\CLEANING - REPAIRS\dalonzo 2.jpg#..\..\Pictures\CLEANING - REPAIRS\dalonzo 2.jpg#",
14880,"03/12/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Allen 33330 3-12-14 A.jpg#..\..\Pictures\CLEANING - REPAIRS\Allen 33330 3-12-14 A.jpg#",
14880,"03/12/14 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Allen 33330 3-12-14 B.jpg#..\..\Pictures\CLEANING - REPAIRS\Allen 33330 3-12-14 B.jpg#",
18793,"03/24/18 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Auddino 40714.jpeg#..\..\Pictures\CLEANING - REPAIRS\Auddino 40714.jpeg#",
17359,"04/27/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Balsano 35524 A.jpg#..\..\Pictures\CLEANING - REPAIRS\Balsano 35524 A.jpg#",
17359,"04/27/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Balsano 35524 B.jpg#..\..\Pictures\CLEANING - REPAIRS\Balsano 35524 B.jpg#",
20671,"06/06/18 00:00:00","..\..\Pictures\CLEANING - REPAIRS\baybrook 2.JPG#..\..\Pictures\CLEANING - REPAIRS\baybrook 2.JPG#",
20671,"06/06/18 00:00:00","..\..\Pictures\CLEANING - REPAIRS\baybrook 3.JPG#..\..\Pictures\CLEANING - REPAIRS\baybrook 3.JPG#",
17304,"03/11/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 A.jpg#..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 A.jpg#",
17304,"03/11/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 B.jpg#..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 B.jpg#",
17304,"03/11/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 C.jpg#..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 C.jpg#",
17304,"03/11/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 D.jpg#..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 D.jpg#",
17304,"03/11/15 00:00:00","..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 E.jpg#..\..\Pictures\CLEANING - REPAIRS\Bellocq 35417 E.jpg#",
